# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	8218
#@/user_id	740140e4-90a9-4364-babb-eaadd52cc38c
a 	啊	c=22 d=1.00954 t=7888
shi jian 	事件	c=2 d=1.00343 t=2581
shi jian 	時間	c=11 d=3.72318 t=7774
shi jian chuo 	時間戳	c=1 d=1 t=3930
shi jiao 	視角	c=1 d=1 t=5748
shi jie 	世界	c=1 d=1 t=3177
shi jie chao liu 	世界潮流	c=1 d=1 t=6242
shi jing sui 	是精髓	c=1 d=1 t=5651
shi ju 	詩句	c=2 d=1.00003 t=2800
shi le 	試了	c=1 d=1 t=7589
shi li 	勢力	c=1 d=1.09371 t=8177
shi na shou 	是哪首	c=1 d=1 t=1339
shi pei 	適配	c=0 d=0.1 t=4508
shi pei de 	適配的	c=1 d=1 t=4509
shi pin 	視頻	c=11 d=2.39863 t=7662
shi ping 	時評	c=4 d=1.11012 t=3983
shi qiang guang chang 	施強廣場	c=1 d=1 t=81
shi ren 	詩人	c=1 d=1 t=4859
shi sha 	是啥	c=6 d=1.00176 t=7754
shi shen me 	是什麼	c=1 d=1 t=5340
shi shi 	實施	c=1 d=1.05123 t=145
shi shi 	試試	c=1 d=1 t=3335
shi shi shi da fu 	實施士大夫	c=1 d=1 t=146
shi shui 	是誰	c=1 d=1 t=6476
shi tang 	食堂	c=1 d=1 t=6616
shi wai tao yuan 	世外桃源	c=1 d=1 t=4985
shi xian 	實現	c=4 d=1.00632 t=6192
shi yao 	是要	c=1 d=1 t=6097
shi yin wei 	是因爲	c=1 d=1 t=7179
shi yong 	使用	c=8 d=1.01075 t=5393
shi yong liang 	使用量	c=1 d=1 t=7324
shi yu 	食慾	c=1 d=1 t=5306
shi yu liu 	是預留	c=1 d=1 t=4961
shi zai 	實在	c=1 d=1 t=7173
shi zhe 	使者	c=1 d=1 t=4903
shi zhe liang 	是這輛	c=1 d=1 t=6378
shi zhen 	是真	c=0 d=0.1 t=5456
shi zhen ke yi 	是真可以	c=1 d=1 t=5457
shi zheng fu 	市政府	c=1 d=1 t=3064
shi zhong 	始終	c=1 d=1 t=6282
shou 	受	c=1 d=1 t=2550
shou 	守	c=1 d=1 t=7851
shou 	手	c=1 d=1 t=1210
shou dao 	收到	c=3 d=1.00031 t=4018
shou dong 	手動	c=7 d=1.00576 t=4099
shou fang 	收房	c=1 d=1 t=5318
shou fu 	首付	c=1 d=1 t=3058
shou hou 	售後	c=2 d=1.99005 t=8199
shou ji 	手機	c=4 d=1 t=7588
shou ji hao 	手機號	c=2 d=1.00001 t=5523
shou lu 	收錄	c=1 d=1 t=7009
shou ming 	壽命	c=1 d=1 t=5851
shou nan jie 	受難節	c=1 d=1 t=7958
shou ye 	首頁	c=2 d=1.68386 t=4363
shu 	數	c=1 d=1 t=1113
shu 	書	c=0 d=0.1 t=5900
shu 	樹	c=2 d=1.36059 t=4160
shu 	豎	c=1 d=1 t=7289
shu 	輸	c=2 d=1.00023 t=7055
shu biao 	鼠標	c=4 d=1.09574 t=4678
shu biao le 	鼠標了	c=1 d=1 t=4623
shu chu 	輸出	c=3 d=2.18904 t=417
shu ju 	數據	c=9 d=1 t=7553
shu ju ku 	數據庫	c=1 d=1 t=4417
shu le 	數了	c=1 d=1 t=3513
shu liang 	數量	c=2 d=0.878095 t=8218
shu mei 	樹莓	c=0 d=0.1 t=5086
shu mei pai 	樹莓派	c=1 d=1 t=5087
shu qi 	豎起	c=0 d=0.1 t=7293
shu qi lai 	豎起來	c=1 d=1 t=7294
shu ru 	輸入	c=4 d=0.927743 t=8218
shu ru fa 	輸入法	c=6 d=1 t=7011
shu xi 	熟悉	c=1 d=1 t=5511
shu xiang 	豎向	c=1 d=1 t=3374
shu zi 	數字	c=1 d=1 t=7186
shua 	刷	c=2 d=1 t=7747
shua 	耍	c=1 d=1 t=4471
shua guo 	刷過	c=1 d=1 t=6118
shua xin 	刷新	c=1 d=1 t=707
shuai ge 	帥哥	c=1 d=1 t=6475
shuang he 	爽喝	c=1 d=1 t=5984
shuang pin 	雙拼	c=1 d=1 t=609
shui 	水	c=1 d=1 t=7001
shui 	睡	c=1 d=1 t=6498
shui 	誰	c=7 d=1.00157 t=7875
shui dou 	誰都	c=0 d=0.1 t=1908
shui dou pa 	誰都怕	c=1 d=1 t=1909
shui jiao 	睡覺	c=1 d=1 t=6443
shui qi 	水起	c=1 d=1 t=4603
shui shuo 	誰說	c=1 d=1 t=2778
shui you 	誰有	c=1 d=1 t=4300
shui zhi dao 	誰知道	c=1 d=1 t=4919
shun dai 	順帶	c=1 d=1 t=765
shun feng 	順豐	c=1 d=1 t=6544
shun zhi zhe chang 	順之者昌	c=1 d=1 t=6244
shuo 	說	c=12 d=1.00614 t=7910
shuo bu ding 	說不定	c=1 d=1 t=1368
shuo bu qing 	說不清	c=1 d=1 t=6984
shuo cheng 	說成	c=1 d=1 t=8139
shuo de 	說的	c=1 d=1 t=1802
shuo guo 	說過	c=2 d=1 t=6884
shuo hua 	說話	c=1 d=1 t=675
shuo huang 	說謊	c=0 d=0.1 t=3131
shuo huang de 	說謊的	c=1 d=1 t=3132
shuo le 	說了	c=1 d=1 t=7333
shuo mei you 	說沒有	c=1 d=1 t=3325
shuo ming 	說明	c=1 d=1 t=2036
shuo ming shu 	說明書	c=1 d=1 t=5070
shuo ni 	說你	c=1 d=1 t=5925
shuo ta 	說他	c=1 d=1 t=556
si 	似	c=1 d=1 t=1376
si 	四	c=2 d=1.99501 t=1414
si 	死	c=1 d=1 t=7962
si ba da 	斯巴達	c=1 d=1 t=7048
si da 	四大	c=1 d=1 t=7405
si da lin 	斯大林	c=1 d=1 t=6266
si da ming zhe 	四大名著	c=1 d=1 t=7397
si de 	似的	c=1 d=1 t=7759
si de 	死的	c=2 d=1.00013 t=7944
si hua 	絲滑	c=2 d=1.95441 t=1759
si jian 	四件	c=1 d=1 t=4773
si li 	死裏	c=0 d=0.1 t=1394
si quan jia 	死全家	c=1 d=1 t=5094
si ren 	死人	c=0 d=0.1 t=1433
si ren le 	死人了	c=1 d=1 t=1434
si wu 	四五	c=1 d=0.1 t=6599
song zong 	宋總	c=1 d=1 t=2847
sou 	搜	c=2 d=1.00005 t=5613
sou gou 	搜狗	c=3 d=2.87017 t=657
sou suo 	搜索	c=6 d=2.50874 t=6780
su 	素	c=1 d=1 t=1142
su 	蘇	c=2 d=1.00001 t=3441
su du 	速度	c=15 d=4.69433 t=7424
su she 	宿舍	c=1 d=1 t=5037
su zhou 	蘇州	c=4 d=1.77935 t=8185
suan 	算	c=1 d=0.93527 t=7968
suan 	酸	c=1 d=1 t=7242
suan dao 	算到	c=1 d=1 t=1982
suan ri qi 	算日期	c=1 d=1 t=7969
sui 	歲	c=2 d=1.11824 t=3199
sui bian 	隨便	c=6 d=1.38914 t=4777
sui di 	隨地	c=1 d=1 t=4150
sui ran 	雖然	c=6 d=1.53556 t=7801
sui shen ting 	隨身聽	c=1 d=1 t=1313
sun zi 	孫子	c=2 d=1.96079 t=4653
suo jian 	所見	c=0 d=0.1 t=2651
suo yi 	所以	c=1 d=1 t=6985
suo yin 	索引	c=1 d=1 t=2483
suo you 	所有	c=2 d=1 t=6709
ta 	他	c=18 d=1.99201 t=8211
ta 	塔	c=1 d=1 t=5682
ta 	她	c=6 d=1 t=7849
ta 	它	c=5 d=1.99627 t=3106
ta bu hui 	他不會	c=1 d=1 t=3937
ta chuan 	他穿	c=1 d=1 t=6749
ta de 	他的	c=5 d=1.01448 t=6746
ta er zi 	他兒子	c=1 d=1 t=379
ta huo zhe 	他活着	c=2 d=1.92774 t=1965
ta mei you 	她沒有	c=1 d=1 t=646
ta men 	他們	c=4 d=1.00001 t=7911
ta na 	他那	c=1 d=1 t=256
ta na ge gou 	他哪個夠	c=1 d=1 t=3444
ta neng 	他能	c=1 d=1 t=7539
ta niang 	他娘	c=1 d=1 t=4920
ta rang 	他讓	c=1 d=1 t=3101
ta shuo 	她說	c=1 d=1 t=728
ta xiang 	他想	c=1 d=1 t=3098
ta xie 	他寫	c=1 d=1 t=1406
ta yao 	他要	c=1 d=1 t=772
ta ye 	他也	c=1 d=1.01695 t=4351
ta ye shi 	他也是	c=1 d=1 t=3997
ta ying gai shi 	他應該是	c=1 d=1 t=3518
ta zai 	他在	c=1 d=1 t=5104
ta zhi 	他只	c=0 d=0.1 t=7735
ta zhi hui 	他只會	c=1 d=1 t=7736
tai 	太	c=7 d=0.7938 t=6617
tai 	臺	c=4 d=3.92116 t=4217
tai can 	太慘	c=1 d=1 t=4090
tai can le 	太慘了	c=1 d=1 t=1435
tai cao le 	太糙了	c=2 d=1.98511 t=3798
tai ci 	臺詞	c=1 d=1 t=314
tai da 	太大	c=2 d=1 t=5956
tai di 	太低	c=1 d=1 t=8068
tai dian 	臺電	c=1 d=1 t=6008
tai dou le 	太逗了	c=2 d=1.16613 t=7960
tai duo 	太多	c=1 d=0.1 t=4346
tai e xin 	太噁心	c=1 d=1 t=6618
tai gan 	抬杆	c=1 d=1 t=4386
tai gan jing 	太乾淨	c=1 d=1 t=5297
tai gou 	太狗	c=1 d=1 t=7494
tai guo fen 	太過分	c=0 d=0.1 t=1372
tai guo fen le 	太過分了	c=1 d=1 t=1373
tai hei 	太黑	c=2 d=1.011 t=7450
tai huai 	太壞	c=1 d=1 t=3681
tai jiu 	太久	c=1 d=1 t=1121
tai kuai 	太快	c=1 d=1 t=3404
tai la kua 	太拉跨	c=1 d=1 t=3614
tai lan 	太懶	c=1 d=0.802519 t=8218
tai leng 	太冷	c=0 d=0.1 t=1443
tai leng men 	太冷門	c=1 d=1 t=1444
tai li xiang 	太理想	c=1 d=1 t=6194
tai ming xian 	太明顯	c=1 d=1 t=7712
tai nan le 	太難了	c=1 d=1 t=7391
tai nan shou 	太難受	c=1 d=1 t=2963
tai shao 	太少	c=1 d=1 t=2805
tai shui 	太水	c=1 d=1 t=7637
tai tou 	抬頭	c=1 d=1 t=5520
tai wan 	臺灣	c=5 d=4.40128 t=4998
tai wei xian 	太危險	c=1 d=1 t=1907
tai xi huan 	太喜歡	c=1 d=1 t=5090
tai xia tou 	太下頭	c=1 d=1 t=3236
tai yang 	太陽	c=5 d=1.00207 t=6181
tai you 	太有	c=3 d=1.00009 t=7949
tai zhuang bi 	太裝逼	c=2 d=1.99005 t=6596
tan xiao pian yi 	貪小便宜	c=1 d=1 t=5897
tang 	湯	c=0 d=0.1 t=5395
tang shan 	唐山	c=1 d=1 t=4122
tao dao 	逃到	c=1 d=1 t=6336
tao jin hu 	套近乎	c=1 d=1 t=5333
tao ke 	套殼	c=1 d=1 t=1539
tao lun 	討論	c=2 d=1.08892 t=6390
tao yan 	討厭	c=1 d=1 t=997
te gong 	特供	c=1 d=1 t=4049
te xiao 	特效	c=1 d=1 t=5997
te zhong bing 	特種兵	c=1 d=1 t=5789
ti 	提	c=2 d=1 t=6915
ti gao 	提高	c=1 d=1 t=1820
ti gong 	提供	c=2 d=1.01616 t=4219
ti ji 	體積	c=1 d=1 t=5954
ti liang 	提亮	c=1 d=1 t=2335
ti mao 	體毛	c=1 d=1 t=7147
ti ni 	替你	c=0 d=0.1 t=4059
ti ni kan 	替你看	c=1 d=1 t=4060
ti qian 	提前	c=2 d=1.99501 t=7250
ti xian 	體現	c=1 d=1 t=1750
ti xing 	提醒	c=1 d=1 t=6558
ti yao 	提要	c=0 d=0.1 t=6382
ti yao qiu 	提要球	c=1 d=1 t=6383
ti zhi 	體制	c=1 d=1 t=4000
ti zi 	梯子	c=1 d=1 t=3381
tian 	天	c=3 d=2.97025 t=818
tian 	舔	c=6 d=1.06368 t=7025
tian gang 	天罡	c=0 d=0.1 t=7284
tian gong 	天工	c=1 d=1 t=4673
tian jia 	添加	c=3 d=1.99046 t=3081
tian jiao 	天驕	c=1 d=1 t=4013
tian qi 	天氣	c=10 d=0.740818 t=8218
tian tian 	天天	c=3 d=1.97047 t=7900
tian xia 	天下	c=2 d=1 t=3233
tiao 	條	c=3 d=1.13466 t=5011
tiao 	調	c=3 d=1 t=8129
tiao 	跳	c=1 d=1 t=5891
tiao jian 	條件	c=3 d=2.95556 t=2991
tiao yue 	條約	c=1 d=1 t=4910
tie 	貼	c=1 d=1 t=284
tie zi 	帖子	c=2 d=0.926959 t=3656
ting 	停	c=5 d=3.8972 t=6874
ting 	挺	c=3 d=0.988402 t=7605
ting 	聽	c=1 d=1.00001 t=3187
ting dao 	聽到	c=1 d=1 t=4864
ting duo 	挺多	c=2 d=1 t=4171
ting guo 	聽過	c=1 d=1 t=5196
ting hao 	挺好	c=2 d=1.00016 t=7169
ting le 	聽了	c=1 d=1 t=1658
ting nan 	挺難	c=0 d=0.1 t=7634
ting tian you ming 	聽天由命	c=1 d=1 t=2650
ting wan shan 	挺完善	c=1 d=1 t=7606
tong 	同	c=0 d=0.1 t=2435
tong 	痛	c=2 d=1.00352 t=6684
tong 	通	c=2 d=1 t=6685
tong bu 	同步	c=4 d=1.00028 t=3427
tong chang 	通暢	c=1 d=1 t=6940
tong ge 	彤哥	c=33 d=1.10618 t=8094
tong guo 	通過	c=4 d=1.00005 t=7316
tong ji 	統計	c=0 d=0.1 t=7205
tong ren 	同人	c=2 d=1.99501 t=6343
tong shi 	同事	c=4 d=0.101001 t=6566
tong xue 	同學	c=1 d=1 t=386
tong yi 	統一	c=2 d=1 t=3478
tong yi ge 	同一個	c=1 d=1 t=2696
tong yi tai 	同一臺	c=1 d=1 t=2436
tong yong 	通用	c=1 d=1 t=8114
tou fa 	頭髮	c=3 d=1.97531 t=7292
tou kui 	頭盔	c=1 d=1 t=5530
tou teng 	頭疼	c=1 d=1 t=4128
tou xi 	偷襲	c=1 d=1 t=1011
tou xiang 	頭像	c=2 d=1 t=4164
tu 	圖	c=4 d=1.0696 t=7269
tu 	徒	c=1 d=1 t=7853
tu bie 	土鱉	c=1 d=1 t=3706
tu fei 	土匪	c=1 d=1 t=1221
tu pian 	圖片	c=4 d=1.00001 t=7498
tu ran 	突然	c=2 d=1 t=6191
tu rang 	土壤	c=1 d=1 t=6196
tu shu guan 	圖書館	c=1 d=1 t=1507
tu xing 	圖形	c=1 d=1 t=2810
tu xing yin qing 	圖型引擎	c=1 d=1 t=2809
tuan 	團	c=3 d=1.05843 t=7758
tuan zhang 	團長	c=0 d=0.1 t=1625
tui 	推	c=1 d=1 t=5681
tui 	腿	c=1 d=1 t=291
tui 	退	c=3 d=1.00002 t=8210
tui dan 	退單	c=1 d=1 t=4614
tui jian 	推薦	c=1 d=1 t=4495
tui kuan 	退款	c=1 d=1 t=5356
tui le 	退了	c=2 d=1.77492 t=5886
tui qian 	退錢	c=1 d=1 t=3031
tun 	吞	c=1 d=1 t=3135
tuo luo 	陀螺	c=1 d=1.06561 t=3949
wa ha ha 	娃哈哈	c=2 d=1.89137 t=1292
wai 	外	c=1 d=1 t=289
wai bu 	外部	c=1 d=1 t=109
wai guo 	外國	c=1 d=1 t=1665
wai guo ren 	外國人	c=1 d=1 t=8134
wai jiao guan 	外交官	c=1 d=1 t=6790
wai jie 	外接	c=1 d=1 t=7446
wai jie 	外界	c=1 d=1 t=7445
wai mai 	外賣	c=1 d=1 t=6613
wai po 	外婆	c=1 d=1 t=7848
wai zhi 	外置	c=2 d=1.00034 t=7415
wan 	完	c=4 d=1.42956 t=4807
wan 	晚	c=1 d=1 t=6499
wan 	玩	c=5 d=1.0542 t=7044
wan 	萬	c=2 d=1.9802 t=1083
wan cheng 	完成	c=1 d=1 t=5538
wan dian 	晚點	c=1 d=1 t=4195
wan hao 	萬豪	c=3 d=1.94673 t=5596
wan le 	完了	c=1 d=1 t=477
wan mei 	完美	c=1 d=1 t=2858
wan mei fu ke 	完美復刻	c=1 d=1 t=76
wan quan 	完全	c=0 d=0.1 t=7554
wan quan ge li 	完全隔離	c=1 d=1 t=7555
wan shan 	完善	c=0 d=0.1 t=7605
wan shang 	晚上	c=2 d=1.00037 t=6441
wan sheng jie 	萬聖節	c=1 d=1 t=7809
wan shi 	完事	c=0 d=0.1 t=6153
wan shuai 	玩帥	c=1 d=1 t=6433
wan shui 	晚睡	c=1 d=1 t=5783
wan wan 	灣灣	c=1 d=1 t=2616
wan yi 	玩意	c=0 d=0.1 t=4042
wan yi 	萬一	c=0 d=0.1 t=144
wan you xi 	玩遊戲	c=1 d=1 t=5187
wang 	往	c=0 d=0.1 t=1394
wang 	忘	c=1 d=1 t=6249
wang 	王	c=1 d=1 t=7974
wang ji 	忘記	c=1 d=1 t=7006
wang le 	忘了	c=4 d=1.12393 t=5158
wang le 	網了	c=1 d=1 t=3414
wang le dai 	忘了帶	c=1 d=1 t=5159
wang li hong 	王力宏	c=1 d=1 t=1405
wang luo 	網絡	c=3 d=1.00008 t=5322
wang rong da 	王榮達	c=9 d=8.82253 t=6850
wang shang 	網上	c=1 d=1 t=8174
wang si li 	往死裏	c=1 d=1 t=1395
wang ye 	網頁	c=2 d=1 t=3905
wang you 	網友	c=2 d=1.00206 t=6389
wang zhan 	網站	c=7 d=1.00139 t=4675
wei 	位	c=7 d=1.00205 t=4964
wei 	未	c=1 d=1 t=3554
wei 	爲	c=1 d=0.371173 t=1179
wei bi 	未必	c=1 d=1 t=7845
wei da 	偉大	c=1 d=1 t=3581
wei fang 	濰坊	c=6 d=2.58512 t=4068
wei hai 	偉海	c=2 d=1 t=3214
wei jie suan 	未結算	c=1 d=1 t=1170
wei ke tuo 	維克托	c=1 d=1 t=6485
wei le 	爲了	c=1 d=1 t=5679
wei ruan 	微軟	c=1 d=1 t=8028
wei sa huang 	位撒謊	c=1 d=1 t=2459
wei sha 	爲啥	c=4 d=1.0154 t=2460
wei shao 	威少	c=1 d=1.00484 t=7801
wei shao qiu mi 	威少球迷	c=1 d=1 t=7802
wei shen me 	爲什麼	c=17 d=1.51626 t=8136
wei xin 	微信	c=12 d=1.00769 t=7493
wei zhi 	位置	c=3 d=1.3116 t=2529
wen 	問	c=1 d=1 t=2271
wen dang 	文檔	c=1 d=1 t=3090
wen ding 	穩定	c=0 d=0.1 t=2464
wen ge 	文革	c=1 d=1 t=5099
wen guo 	問過	c=1 d=1.00106 t=1634
wen guo yi ci 	問過一次	c=1 d=1 t=726
wen jian 	文件	c=26 d=1.04863 t=8171
wen jian lu jing 	文件路徑	c=1 d=1 t=3156
wen qi lai 	問起來	c=1 d=1 t=481
wen qi lai 	聞起來	c=1 d=1 t=480
wen ti 	問題	c=12 d=1.00017 t=6959
wen wen 	問問	c=1 d=1.00006 t=2846
wen wen 	穩穩	c=2 d=1.14156 t=6821
wen xia 	問下	c=1 d=1 t=1222
weng zhong zhuo bie 	甕中捉鱉	c=1 d=1 t=1474
wo 	我	c=54 d=1.79012 t=8158
wo ai ni 	我愛你	c=2 d=1.62814 t=6026
wo ba 	我把	c=3 d=1 t=6734
wo bu dong 	我不懂	c=1 d=1 t=1804
wo bu xin 	我不信	c=1 d=1 t=644
wo bu zhi dao 	我不知道	c=1 d=1 t=3097
wo chi la 	我喫辣	c=1 d=1 t=7286
wo chu le 	我除了	c=1 d=1 t=592
wo dang nian 	我當年	c=1 d=1 t=3238
wo dang tuan 	我黨團	c=1 d=1 t=1627
wo dao 	我倒	c=1 d=1 t=565
wo de 	我的	c=5 d=1 t=8142
wo de tuan zhang 	我的團長	c=1 d=1 t=1626
wo dou 	我都	c=4 d=1 t=4173
wo dui 	我對	c=0 d=0.1 t=248
wo dui xia 	我對下	c=1 d=1 t=249
wo fa xian 	我發現	c=1 d=1 t=1264
wo fan chuan 	我反串	c=1 d=1 t=6151
wo gan 	我淦	c=1 d=1 t=5876
wo gan jue 	我感覺	c=1 d=1 t=1558
wo gao su 	我高速	c=1 d=1 t=3525
wo guo 	我國	c=0 d=0.1 t=2650
wo hai 	我還	c=0 d=0.1 t=2461
wo hai ji de 	我還記得	c=1 d=1 t=7346
wo hai yi wei 	我還以爲	c=3 d=1.00001 t=5212
wo ji de 	我記得	c=3 d=1 t=8124
wo jia 	我家	c=1 d=1 t=723
wo jia zhao 	我駕照	c=1 d=1 t=3840
wo jiu 	我就	c=2 d=0.1 t=7823
wo jiu ji de 	我就記得	c=1 d=1 t=1116
wo jiu xiang dao 	我就想到	c=1 d=1 t=7824
wo jue de 	我覺得	c=1 d=1 t=1657
wo kai 	我開	c=1 d=1 t=8167
wo kan 	我看	c=0 d=0.1 t=872
wo kan bu dong 	我看不懂	c=1 d=1 t=6364
wo kan dao 	我看到	c=1 d=1 t=1275
wo kan kan 	我看看	c=1 d=1 t=5664
wo kan ta 	我看他	c=1 d=1 t=873
wo kan xia 	我看下	c=1 d=1 t=4670
wo kuang tian 	我狂舔	c=1 d=1 t=6142
wo lao 	我老	c=0 d=0.1 t=4060
wo lao gao su ni 	我老告訴你	c=1 d=1 t=4061
wo lao gong 	我老公	c=0 d=0.1 t=4371
wo lian 	我連	c=1 d=1 t=1607
wo ma 	我媽	c=1 d=1 t=7825
wo men 	我們	c=3 d=1.09681 t=6526
wo men yao 	我們要	c=1 d=1 t=6396
wo men zhe 	我們這	c=1 d=1 t=2492
wo qu 	我去	c=1 d=1 t=1536
wo shang 	我上	c=0 d=0.1 t=6541
wo shang ci 	我上次	c=1 d=1 t=6542
wo shi 	我是	c=3 d=1 t=5839
wo shou 	握手	c=1 d=1 t=5645
wo shuo 	我說	c=2 d=1 t=5508
wo wei shen me 	我爲什麼	c=1 d=1 t=5078
wo wei xin 	我微信	c=1 d=1 t=3431
wo wen wen 	我問問	c=1 d=1 t=1225
wo xiang xin 	我相信	c=1 d=1 t=588
wo xuan ta 	我選他	c=1 d=1 t=1949
wo xun si 	我尋思	c=1 d=1 t=1033
wo yao 	我要	c=2 d=1.00019 t=2781
wo ye 	我也	c=2 d=1.98511 t=4333
wo ye shi 	我也是	c=2 d=1 t=6123
wo ye xiang 	我也想	c=1 d=1 t=276
wo yi hui 	我一會	c=1 d=1 t=3334
wo yi jing 	我已經	c=1 d=1 t=642
wo yi kan 	我一看	c=1 d=1 t=3502
wo yi wei 	我以爲	c=2 d=1 t=6757
wo yong 	我用	c=1 d=1 t=3411
wo you 	我有	c=1 d=1 t=4103
wo za 	我咋	c=1 d=1 t=1076
wo zai 	我再	c=2 d=1.36422 t=466
wo zai 	我在	c=1 d=1 t=7864
wo zen me 	我怎麼	c=2 d=1.0031 t=6788
wo zhe 	我這	c=6 d=0.860708 t=8218
wo zhe shi 	我這是	c=1 d=0.763379 t=8218
wo zhen 	我真	c=0 d=0.1 t=6008
wo zhen de 	我真的	c=1 d=1 t=6920
wo zhen you qian 	我真有錢	c=1 d=1 t=6009
wo zhi dao 	我知道	c=2 d=1 t=4950
wo zhi qian 	我之前	c=1 d=1 t=6879
wo zhi yi 	我質疑	c=1 d=1 t=589
wo zi ji 	我自己	c=1 d=1 t=5146
wu 	五	c=2 d=1.99005 t=4258
wu 	烏	c=1 d=1 t=4905
wu 	無	c=4 d=1.05057 t=4314
wu bi 	五筆	c=1 d=1 t=607
wu chan 	無產	c=1 d=1 t=2653
wu chan zhe 	無產者	c=2 d=1 t=6259
wu fa 	無法	c=4 d=1 t=7432
wu ge ren 	五個人	c=1 d=1 t=5717
wu gu 	無辜	c=0 d=0.1 t=6804
wu han 	武漢	c=1 d=1 t=757
wu hen 	無痕	c=1 d=1 t=4148
wu jiang 	吳江	c=4 d=3.95047 t=8027
wu ke lan 	烏克蘭	c=1 d=1 t=5792
wu liu 	物流	c=1 d=1 t=5837
wu liu ge 	五六個	c=1 d=1 t=4309
wu lun 	無論	c=1 d=0.332236 t=2429
wu lun dao na 	無論到哪	c=1 d=1 t=2430
wu lun ru he 	無論如何	c=1 d=1 t=2176
wu nian ji 	五年級	c=0 d=0.1 t=3441
wu nian ji na 	五年級那	c=1 d=1 t=3442
wu quan xian 	無權限	c=1 d=1 t=2046
wu shuang 	無雙	c=1 d=1 t=3234
wu suo wei 	無所謂	c=1 d=1 t=4991
wu wu 	五五	c=0 d=0.1 t=4009
wu wu kai 	五五開	c=1 d=1 t=4010
wu xian 	無線	c=2 d=1.97531 t=3748
wu ya 	烏鴉	c=0 d=0.1 t=7366
wu ya zuo fei ji 	烏鴉坐飛機	c=1 d=1 t=7367
wu yang 	無氧	c=1 d=1 t=1818
xi 	悉	c=1 d=1 t=5767
xi 	系	c=1 d=1 t=3318
xi bao 	細胞	c=1 d=1 t=7138
xi fang 	西方	c=1 d=1 t=7947
xi huan 	喜歡	c=2 d=1.00845 t=5088
xi jie 	希捷	c=1 d=1 t=6043
xi jin ping 	習近平	c=1 d=1 t=1980
xi sheng 	犧牲	c=0 d=0.1 t=1422
xi sheng le 	犧牲了	c=1 d=1 t=1423
xi te le 	希特勒	c=2 d=1.96561 t=2627
xi tong 	系統	c=6 d=1.0015 t=4483
xi tong wen jian 	系統文件	c=1 d=1 t=8156
xi xi 	細細	c=1 d=1 t=4642
xi xue gui 	吸血鬼	c=2 d=1.95123 t=6463
xia 	下	c=10 d=0.0865022 t=8218
xia ba 	下巴	c=1 d=1 t=7698
xia bai 	瞎掰	c=0 d=0.1 t=1941
xia dan 	下單	c=2 d=1.75051 t=6070
xia lai 	下來	c=1 d=1 t=6326
xia lu 	下路	c=1 d=1 t=7693
xia men 	廈門	c=8 d=1.99575 t=6449
xia men wan 	廈門玩	c=1 d=1 t=735
xia mian 	下面	c=2 d=1.00003 t=4753
xia ren 	嚇人	c=1 d=1 t=6706
xia shuo 	瞎說	c=1 d=1 t=409
xia si 	嚇死	c=2 d=1.99501 t=5716
xia tian 	夏天	c=1 d=1 t=1529
xia tou 	下頭	c=3 d=1.14296 t=6946
xia tou nan 	下頭男	c=1 d=1 t=6947
xia yi ge 	下一個	c=1 d=1 t=6977
xia yi ju 	下一句	c=2 d=1 t=7753
xia zai 	下載	c=12 d=5.83883 t=7563
xian 	先	c=8 d=1.15619 t=7881
xian 	現	c=0 d=0.1 t=2127
xian 	線	c=1 d=1.03247 t=7471
xian 	閒	c=1 d=1 t=4182
xian chang 	現場	c=1 d=1 t=1387
xian dai hua 	現代化	c=1 d=1 t=2733
xian jian 	仙劍	c=2 d=1.97531 t=5630
xian jing 	陷阱	c=1 d=1 t=4782
xian ka 	顯卡	c=5 d=1.65688 t=3863
xian mu 	羨慕	c=1 d=1 t=7390
xian shang 	線上	c=1 d=1 t=4444
xian shi 	顯示	c=0 d=0.1 t=8177
xian shi ping 	顯示屏	c=1 d=1 t=7220
xian shi sheng huo zhong 	顯示生活中	c=1 d=1 t=8178
xian yong 	先用	c=1 d=1 t=4192
xian you 	現有	c=1 d=1 t=5451
xian zai 	現在	c=12 d=1.46682 t=7308
xian zhi 	限制	c=1 d=1 t=939
xiang 	像	c=5 d=1.00963 t=3511
xiang 	想	c=11 d=0.865022 t=8218
xiang dang yu 	相當於	c=1 d=1 t=2410
xiang dao 	想到	c=0 d=0.1 t=7823
xiang gang 	香港	c=2 d=1.8311 t=5008
xiang ge 	像個	c=1 d=0.88692 t=8218
xiang ge 	翔哥	c=24 d=0.891366 t=8218
xiang gei 	想給	c=1 d=1 t=5488
xiang guan 	相關	c=1 d=1 t=4130
xiang guo 	想過	c=0 d=0.1 t=7809
xiang mu 	項目	c=1 d=1 t=87
xiang qu 	想去	c=1 d=1 t=3616
xiang rang 	想讓	c=1 d=1 t=6909
xiang ri kui 	向日葵	c=2 d=1.44486 t=6681
xiang shi 	像是	c=0 d=0.1 t=1018
xiang ta 	向他	c=0 d=0.1 t=276
xiang ta na yang 	向他那樣	c=1 d=1 t=277
xiang tong 	相同	c=1 d=1 t=3195
xiang wo 	像我	c=1 d=1 t=326
xiang wo 	向我	c=1 d=1 t=325
xiang yao 	想要	c=1 d=1 t=3337
xiang ying 	響應	c=4 d=1 t=7191
xiao 	小	c=6 d=2.70897 t=6659
